Tiempo Radixsort,Tiempo Quicksort
5,456
5,446
5,470
5,430
5,443
5,434
4,426
5,429
5,420
5,430
5,445
4,425
4,429
4,435
5,428
6,437
4,422
5,428
4,424
5,419
5,430
5,435
6,470
5,466
8,452
5,450
5,431
5,451
6,443
5,433
5,448
5,432
5,435
5,454
5,436
5,440
5,431
5,438
4,439
4,451
6,438
5,429
5,420
5,445
5,475
5,447
5,449
5,422
4,416
5,435
5,462
5,443
4,435
4,435
4,436
4,440
5,438
5,427
4,425
5,416
5,422
5,420
4,422
4,414
4,426
4,424
4,436
4,422
6,424
4,417
5,416
4,420
4,446
5,434
5,447
5,440
5,440
6,433
5,423
4,426
5,436
5,425
4,420
4,428
4,429
5,424
4,421
5,430
5,433
5,425
4,424
5,420
5,424
4,426
5,430
4,421
4,424
5,424
4,430
5,449
